ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.15256,3.25604,8.96207,-0.16408,3.74924,9.06017,0.33285,0.13771,-0.34221,-0.25734,0.01878,-0.09448,4704,31.31,-24.397,-3.766,236.752,-23.299,0.834,5,46.0954,,,,NaN,,,,0 / 0,18,2018-08-09 08:42:57:902
-0.63411,3.02574,8.2849,-0.49851,3.00846,9.32046,-0.29072,0.02579,-0.4776,-0.27403,0.12263,-0.03748,6592,32.184,-23.431,-7.593,239.037,-17.865,3.062,5,59.7998,,,,NaN,,,,0 / 0,519,2018-08-09 08:42:58:403
0.02272,2.18108,9.86894,-0.6709,2.46734,9.46745,-0.09449,0.12434,0.09726,-0.3567,0.08049,0.0126,7860,33.812,-22.258,-7.286,240.716,-15.213,4.447,5,47.8153,,,,NaN,,,,0 / 0,1018,2018-08-09 08:42:58:902
1.54097,3.45525,9.63445,0.79724,1.88279,9.59114,-0.16473,1.03258,-0.51196,-0.43326,0.21121,0.70003,8096,28.337,-26.854,-13.835,230.961,-13.325,-5.278,5,58.2847,,,,NaN,,,,0 / 0,1518,2018-08-09 08:42:59:402
2.61057,-0.77347,16.77821,0.23115,1.51364,9.68637,-0.08516,-0.07779,-1.01943,-0.84335,-0.46114,-0.27957,11160,24.367,-30.45,-11.516,221.324,-10.568,0.033,5,52.4803,,,,NaN,,,,0 / 0,2018,2018-08-09 08:42:59:902
-3.50969,1.76173,8.19815,-2.35422,2.37818,9.21804,-0.59325,-0.41422,-1.0651,-0.34814,0.2108,0.08652,7864,35.364,-18.785,-2.505,244.773,-14.035,14.327,5,53.6175,,,,NaN,,,,0 / 0,2518,2018-08-09 08:43:00:402
-3.48277,2.76851,7.84102,-1.27034,1.99401,9.51738,0.39963,0.96141,-1.42077,0.19002,-0.42876,0.29259,8460,35.71,-17.822,-6.033,246.581,-12.938,8.222,5,59.0388,,,,NaN,,,,0 / 0,3018,2018-08-09 08:43:00:902
0.33678,2.20441,10.55867,0.15567,2.32273,9.52634,-0.64413,-0.017,-0.41976,-0.36546,-0.35506,-0.11261,7424,35.522,-16.49,-12.801,250.805,-13.701,-0.936,5,58.979,,,,NaN,,,,0 / 0,3518,2018-08-09 08:43:01:402
1.82631,3.08437,6.90782,1.42138,3.42181,9.07972,0.52215,-0.32488,-0.05726,0.35759,0.11205,0.06636,5832,32.605,-19.748,-12.843,245.134,-20.422,-8.897,5,58.2392,,,,NaN,,,,0 / 0,4019,2018-08-09 08:43:01:903
2.25642,3.12265,7.49167,1.88753,4.19417,8.66121,0.73767,-0.69716,0.13395,0.25659,0.44028,0.02402,3220,28.018,-26.315,-10.869,233.81,-24.825,-13.177,5,57.7674,,,,NaN,,,,0 / 0,4519,2018-08-09 08:43:02:403
