ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.7861,-0.1029,9.8313,-0.7601,-0.1088,9.7765,0.0069,0.0204,-0.0006,-0.0022,0.0019,0.0007,0,-41.93,-26.19,-40.04,120.43,0.67,4.45,0,24.942,,,,NaN,,,,0 / 0,6,2018-08-11 08:38:26:944
-0.7549,-0.0957,9.8671,-0.7532,-0.1074,9.7771,0.0022,0.0149,0.0391,-0.0059,0.0056,0.0007,30,-41.76,-26.18,-40.33,120.43,0.63,4.4,5,29.847,,,,NaN,,,,0 / 0,507,2018-08-11 08:38:27:445
-0.7573,0.0527,9.9892,-0.7718,-0.108,9.7756,-0.0064,-0.0068,0.0307,0.0393,0.0105,0.0044,30,-42.12,-26.49,-39.74,120.45,0.71,4.49,5,35.504,,,,NaN,,,,0 / 0,1006,2018-08-11 08:38:27:944
-0.7944,-0.0837,9.8241,-0.7564,-0.0917,9.777,0.0182,0.0235,0.0588,0.01,0.008,0.0044,30,-41.24,-26.48,-40.64,120.89,0.54,4.42,5,28.986,,,,NaN,,,,0 / 0,1506,2018-08-11 08:38:28:444
-0.7705,-0.0969,9.8121,-0.7742,-0.0719,9.7758,0.013,-0.0112,0.0069,0.01,-0.0042,-0.0017,30,-41.93,-26.17,-40.63,120.22,0.43,4.55,5,27.866,,,,NaN,,,,0 / 0,2006,2018-08-11 08:38:28:944
-0.7681,-0.0802,9.8133,-0.7665,-0.0657,9.7764,-0.0182,-0.0073,-0.0035,0.0027,-0.0005,0.0007,30,-41.59,-26.8,-39.46,121.24,0.38,4.47,5,24.948,,,,NaN,,,,0 / 0,2507,2018-08-11 08:38:29:445
-0.7789,-0.0861,9.8444,-0.7751,-0.0742,9.7757,-0.0005,0.0089,-0.0018,0.0015,-0.0005,0.0007,30,-41.24,-26.48,-40.64,120.79,0.43,4.53,5,20.994,,,,NaN,,,,0 / 0,3008,2018-08-11 08:38:29:946
-0.7777,-0.0718,9.8456,-0.7726,-0.0699,9.7759,-0.0069,-0.0064,0.0175,0.0015,-0.0018,-0.0005,30,-41.22,-26.19,-40.04,120.82,0.41,4.52,5,32.864,,,,NaN,,,,0 / 0,3506,2018-08-11 08:38:30:444
-0.7753,-0.0897,9.8145,-0.7797,-0.0989,9.7751,-0.001,0.0302,-0.0184,0.0015,-0.0018,-0.0017,30,-41.77,-26.78,-40.34,121.28,0.58,4.56,5,28.542,,,,NaN,,,,0 / 0,4007,2018-08-11 08:38:30:945
-0.7765,-0.0586,9.8444,-0.7586,-0.0854,9.7769,-0.0158,-0.029,-0.0122,0.0088,-0.003,0.0007,30,-41.37,-25.29,-40.32,119.93,0.49,4.43,5,24.325,,,,NaN,,,,0 / 0,4506,2018-08-11 08:38:31:444
-0.8231,-0.1424,9.7008,-0.779,-0.1029,9.7751,-0.1777,-0.309,0.0848,-0.0046,-0.0005,0.0007,30,-42.66,-26.78,-40.04,120.74,0.6,4.56,5,22.208,,,,NaN,,,,0 / 0,5006,2018-08-11 08:38:31:944
-0.7849,-0.1053,9.8217,-0.7849,-0.0914,9.7748,0.0293,-0.0289,-0.0602,0.0051,0.0007,0.002,30,-40.89,-26.78,-40.64,121.76,0.52,4.61,5,22.161,,,,NaN,,,,0 / 0,5507,2018-08-11 08:38:32:445
-0.7813,-0.0849,9.8181,-0.7738,-0.087,9.7757,0.0059,0.0025,-0.0123,0.0015,-0.0005,-0.0005,30,-41.42,-26.78,-40.35,121.82,0.51,4.53,5,24.366,,,,NaN,,,,0 / 0,6006,2018-08-11 08:38:32:944
-0.7765,-0.0826,9.8301,-0.7739,-0.0813,9.7757,0.0004,0.0014,0.0058,0.0015,-0.0018,0.0007,30,-41.24,-26.48,-40.64,120.82,0.48,4.53,5,22.705,,,,NaN,,,,0 / 0,6507,2018-08-11 08:38:33:445
