SOUNDLEVEL,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
60.444,6,2018-08-16 22:58:29:602
60.444,11,2018-08-16 22:58:29:607
60.444,16,2018-08-16 22:58:29:612
60.444,21,2018-08-16 22:58:29:617
60.444,26,2018-08-16 22:58:29:622
60.444,31,2018-08-16 22:58:29:627
60.444,35,2018-08-16 22:58:29:631
60.444,42,2018-08-16 22:58:29:638
61.867,46,2018-08-16 22:58:29:642
61.867,50,2018-08-16 22:58:29:646
61.867,56,2018-08-16 22:58:29:652
61.867,60,2018-08-16 22:58:29:656
61.867,66,2018-08-16 22:58:29:662
61.867,70,2018-08-16 22:58:29:666
61.867,76,2018-08-16 22:58:29:672
61.867,80,2018-08-16 22:58:29:676
61.867,86,2018-08-16 22:58:29:682
61.867,91,2018-08-16 22:58:29:687
61.867,96,2018-08-16 22:58:29:692
61.867,100,2018-08-16 22:58:29:696
61.867,106,2018-08-16 22:58:29:702
61.867,110,2018-08-16 22:58:29:706
61.867,115,2018-08-16 22:58:29:711
61.867,121,2018-08-16 22:58:29:717
61.867,126,2018-08-16 22:58:29:722
61.867,130,2018-08-16 22:58:29:726
61.867,136,2018-08-16 22:58:29:732
61.867,140,2018-08-16 22:58:29:736
61.867,146,2018-08-16 22:58:29:742
61.867,151,2018-08-16 22:58:29:747
61.867,155,2018-08-16 22:58:29:751
61.867,161,2018-08-16 22:58:29:757
61.867,166,2018-08-16 22:58:29:762
61.867,171,2018-08-16 22:58:29:767
61.867,176,2018-08-16 22:58:29:772
61.867,180,2018-08-16 22:58:29:776
61.867,185,2018-08-16 22:58:29:781
61.867,191,2018-08-16 22:58:29:787
61.867,195,2018-08-16 22:58:29:791
61.867,202,2018-08-16 22:58:29:798
61.867,206,2018-08-16 22:58:29:802
61.867,211,2018-08-16 22:58:29:807
61.867,216,2018-08-16 22:58:29:812
61.867,221,2018-08-16 22:58:29:817
61.867,226,2018-08-16 22:58:29:822
61.867,232,2018-08-16 22:58:29:828
61.867,236,2018-08-16 22:58:29:832
61.867,241,2018-08-16 22:58:29:837
61.867,246,2018-08-16 22:58:29:842
61.867,250,2018-08-16 22:58:29:846
61.867,256,2018-08-16 22:58:29:852
61.867,261,2018-08-16 22:58:29:857
61.867,266,2018-08-16 22:58:29:862
61.867,270,2018-08-16 22:58:29:866
61.867,275,2018-08-16 22:58:29:871
61.867,280,2018-08-16 22:58:29:876
61.867,286,2018-08-16 22:58:29:882
61.867,290,2018-08-16 22:58:29:886
61.867,296,2018-08-16 22:58:29:892
61.867,301,2018-08-16 22:58:29:897
61.867,306,2018-08-16 22:58:29:902
61.867,311,2018-08-16 22:58:29:907
61.867,316,2018-08-16 22:58:29:912
61.867,321,2018-08-16 22:58:29:917
61.867,326,2018-08-16 22:58:29:922
61.867,332,2018-08-16 22:58:29:928
61.867,335,2018-08-16 22:58:29:931
61.867,341,2018-08-16 22:58:29:937
61.867,346,2018-08-16 22:58:29:942
61.867,351,2018-08-16 22:58:29:947
61.867,355,2018-08-16 22:58:29:951
61.867,361,2018-08-16 22:58:29:957
61.867,366,2018-08-16 22:58:29:962
61.867,370,2018-08-16 22:58:29:966
58.46,375,2018-08-16 22:58:29:971
58.46,381,2018-08-16 22:58:29:977
58.46,387,2018-08-16 22:58:29:983
58.46,394,2018-08-16 22:58:29:990
58.46,396,2018-08-16 22:58:29:992
58.46,400,2018-08-16 22:58:29:996
58.46,406,2018-08-16 22:58:30:002
58.46,411,2018-08-16 22:58:30:007
58.46,415,2018-08-16 22:58:30:011
58.46,421,2018-08-16 22:58:30:017
58.46,426,2018-08-16 22:58:30:022
58.46,431,2018-08-16 22:58:30:027
58.46,435,2018-08-16 22:58:30:031
58.46,441,2018-08-16 22:58:30:037
58.46,446,2018-08-16 22:58:30:042
58.46,451,2018-08-16 22:58:30:047
58.46,456,2018-08-16 22:58:30:052
58.46,461,2018-08-16 22:58:30:057
58.46,466,2018-08-16 22:58:30:062
58.46,470,2018-08-16 22:58:30:066
58.46,475,2018-08-16 22:58:30:071
58.46,480,2018-08-16 22:58:30:076
58.46,485,2018-08-16 22:58:30:081
58.46,491,2018-08-16 22:58:30:087
58.46,496,2018-08-16 22:58:30:092
58.46,500,2018-08-16 22:58:30:096
58.46,506,2018-08-16 22:58:30:102
58.46,511,2018-08-16 22:58:30:107
58.46,518,2018-08-16 22:58:30:114
