ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNLEVEL,SOUNDLEVEL,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.2261,-1.0217,10.445,-0.4981,-0.4617,9.7831,0.0034,-0.3169,0.5083,-0.0944,-0.0792,0.0537,30,14.94,24,16,327.39,2.7,2.91,2,21.81,141.81,,,NaN,,,,0 / 0,7,2018-08-16 21:20:30:361
-0.4511,-0.5372,9.9246,-0.4959,-0.4409,9.7842,0.0597,-0.109,0.2547,0.0901,-0.0694,0.0012,30,13.07,28.28,11.66,334.42,3.06,3.31,2,20.955,140.955,,,NaN,,,,0 / 0,506,2018-08-16 21:20:30:860
-0.3362,-0.5276,9.848,-0.4345,-0.4622,9.7861,0.0055,-0.045,0.0759,-0.015,0.0088,-0.0318,30,12.55,28.58,11.97,335.37,2.62,2.54,2,53.618,173.618,,,NaN,,,,0 / 0,1006,2018-08-16 21:20:31:360
-0.3649,-0.3242,9.6386,-0.3121,-0.4968,9.7891,0.2479,-0.1188,0.0217,-0.0113,0.0417,-0.0025,30,14.33,28.85,12.55,334.05,2.9,1.83,2,45.864,165.864,,,NaN,,,,0 / 0,1507,2018-08-16 21:20:31:861
-0.3506,-0.4379,9.7631,-0.3562,-0.444,9.7901,0.0066,0.0226,0.0054,-0.015,-0.0328,-0.0135,30,14.91,29.69,15.22,333.06,2.61,2.2,2,20.62,140.62,,,NaN,,,,0 / 0,2007,2018-08-16 21:20:32:361
-0.4786,-0.2297,9.7224,-0.4128,-0.3192,9.7928,-0.0597,0.0803,-0.0582,0.0168,0.0576,0.0158,30,14.54,29.42,14.04,332.1,1.87,2.41,2,22.222,142.222,,,NaN,,,,0 / 0,2506,2018-08-16 21:20:32:860
-0.3829,-0.3182,9.6793,-0.3611,-0.3851,9.7924,0.0723,-0.0244,-0.0082,-0.0089,-0.0169,0.0097,30,13.84,29.4,15.22,333.79,2.38,2.17,2,56.311,176.311,,,NaN,,,,0 / 0,3009,2018-08-16 21:20:33:363
-0.2249,-0.5145,9.7415,-0.3687,-0.4345,9.7901,0.0661,-0.0509,-0.0077,0.0009,-0.0132,-0.0049,30,14.17,29.13,13.44,333.9,2.59,2.12,2,40.442,160.442,,,NaN,,,,0 / 0,3507,2018-08-16 21:20:33:861
-0.3936,-0.4379,9.9365,-0.3661,-0.4639,9.7888,-0.029,0.0085,0.1719,0.0083,0.0149,0.0109,30,13.2,31.47,16.44,336.8,2.71,2.14,2,28.536,148.536,,,NaN,,,,0 / 0,4007,2018-08-16 21:20:34:361
-0.335,-0.4427,9.8013,-0.3878,-0.4321,9.7894,-0.0634,0.0089,0.0477,-0.0027,-0.0108,-0.0147,30,13.75,32.06,16.16,335.93,2.57,2.15,2,21.095,141.095,,,NaN,,,,0 / 0,4506,2018-08-16 21:20:34:860
-0.4032,-0.4271,9.836,-0.3785,-0.4395,9.7895,-0.044,0.0314,-0.0163,-0.0211,-0.0108,-0.0086,30,13.19,31.5,14.67,337.41,2.5,2.19,2,59.701,179.701,,,NaN,,,,0 / 0,5007,2018-08-16 21:20:35:361
-0.3673,-0.4391,9.5932,-0.3556,-0.4305,9.7907,0.0061,-0.0047,-0.0548,-0.0516,-0.0132,-0.0086,30,12.5,31.46,17.04,336.76,2.52,2.08,2,43.942,163.942,,,NaN,,,,0 / 0,5507,2018-08-16 21:20:35:861
-0.3745,-0.4642,9.6542,-0.3447,-0.4362,9.7909,0.0586,-0.023,-0.0059,0.0327,-0.0145,-0.0013,30,14.62,31.77,15.85,334.53,2.55,2.02,2,34.018,154.018,,,NaN,,,,0 / 0,6007,2018-08-16 21:20:36:361
-0.2752,-0.4678,9.7367,-0.3621,-0.4087,9.7914,0.004,-0.0328,-0.1334,0.0705,0.01,0.0073,30,13.91,31.77,15.86,335.93,2.39,2.08,2,21.395,141.395,,,NaN,,,,0 / 0,6507,2018-08-16 21:20:36:861
-0.3613,-0.4331,9.8025,-0.3684,-0.4399,9.7899,0.0166,-0.0093,0.0217,-0.0333,-0.0022,0.0219,30,13.22,31.74,17.63,337.37,2.56,2.1,2,58.643,178.643,,,NaN,,,,0 / 0,7006,2018-08-16 21:20:37:360
-0.4451,-0.3864,9.781,-0.3591,-0.4467,9.7899,0.0068,-0.0396,-0.039,0.0205,0.0002,0.0024,30,12.52,32.35,17.05,337.41,2.61,2.1,2,47.365,167.365,,,NaN,,,,0 / 0,7506,2018-08-16 21:20:37:860
-0.2632,-0.451,9.6685,-0.3632,-0.4444,9.7898,0.0412,-0.0242,0.0396,0.0107,0.0063,-0.011,30,13.75,32.36,16.16,335.94,2.6,2.12,2,38.417,158.417,,,NaN,,,,0 / 0,8007,2018-08-16 21:20:38:361
-0.3003,-0.384,9.6841,-0.3541,-0.4304,9.7908,0.0813,0.0043,-0.0713,0.018,-0.001,0.0134,30,13.54,31.18,15.85,335.31,2.59,2.04,2,20.811,140.811,,,NaN,,,,0 / 0,8507,2018-08-16 21:20:38:861
-0.323,-0.4427,9.7355,-0.3507,-0.4323,9.7908,0.0305,-0.0114,-0.0306,0.0107,0.0112,0.0109,30,13.91,32.09,14.68,336,2.58,2.04,2,24.203,144.203,,,NaN,,,,0 / 0,9007,2018-08-16 21:20:39:361
-0.4283,-0.3745,9.6183,-0.3417,-0.4328,9.7911,0.0076,-0.0018,0.0298,0.0095,-0.0108,-0.0159,30,13.41,32.35,16.76,337.44,2.53,2,2,23.061,143.061,,,NaN,,,,0 / 0,9507,2018-08-16 21:20:39:861
-0.2967,-0.4702,9.8671,-0.3602,-0.3994,9.7919,-0.0028,-0.0231,0.0358,0.0046,-0.001,-0.0061,30,13.07,32.63,17.94,337.94,2.31,2.09,2,56.756,176.756,,,NaN,,,,0 / 0,10007,2018-08-16 21:20:40:361
-0.3003,-0.4163,9.9341,-0.3477,-0.3979,9.7924,0.0651,-0.0203,0.0625,0.0009,-0.0022,0.0036,30,13.76,32.97,15.58,336.54,2.28,2.1,2,47.203,167.203,,,NaN,,,,0 / 0,10507,2018-08-16 21:20:40:861
-0.2584,-0.3924,9.7523,-0.3347,-0.3807,9.7935,-0.02,-0.066,0.0276,0.04,0.0222,0.0085,30,13.76,32.97,15.58,336.63,2.35,1.91,2,24.238,144.238,,,NaN,,,,0 / 0,11007,2018-08-16 21:20:41:361
-0.3518,-0.396,9.8959,-0.3145,-0.4032,9.7933,-0.0024,-0.0278,-0.0352,0.018,0.01,0.0061,30,13.74,32.08,15.57,336.02,2.36,1.84,2,20.786,140.786,,,NaN,,,,0 / 0,11507,2018-08-16 21:20:41:861
-0.2955,-0.408,9.501,-0.3212,-0.4196,9.7924,0.038,-0.0164,-0.1213,-0.0321,0.0076,-0.0049,30,12.72,32.93,17.95,338.06,2.49,1.89,2,21.946,141.946,,,NaN,,,,0 / 0,12007,2018-08-16 21:20:42:361
-0.3817,-0.3709,9.7894,-0.3512,-0.3317,9.7947,-0.0606,0.0496,-0.0595,0.0058,0.0112,-0.0086,30,12.69,32.05,17.34,337.43,2.26,1.92,2,57.024,177.024,,,NaN,,,,0 / 0,12507,2018-08-16 21:20:42:861
-0.2812,-0.3541,9.836,-0.3135,-0.36,9.795,-0.0745,0.0242,0.2231,-0.0699,-0.0169,-0.0086,30,12.51,31.44,18.22,336.78,2.1,1.83,2,27.313,147.313,,,NaN,,,,0 / 0,13007,2018-08-16 21:20:43:361
-0.2728,-0.4199,9.6003,-0.2316,-0.4138,9.7952,0.0705,-0.0443,-0.0766,-0.0272,0.0002,0.0036,30,14.1,32.07,15.56,336.18,2.31,1.42,2,21.568,141.568,,,NaN,,,,0 / 0,13507,2018-08-16 21:20:43:861
-0.1412,-0.4941,9.8887,-0.2001,-0.4577,9.7939,-0.0423,-0.0002,0.0302,-0.0027,0.0112,0.0024,30,14.61,31.47,15.85,334.24,2.65,1.07,2,22.374,142.374,,,NaN,,,,0 / 0,14008,2018-08-16 21:20:44:362
-0.2333,-0.5336,9.7188,-0.1986,-0.4789,9.7929,-0.0182,-0.0067,0.1005,-0.0284,-0.0022,-0.0074,30,14.3,32.95,16.47,336.99,2.8,1.16,2,56.72,176.72,,,NaN,,,,0 / 0,14507,2018-08-16 21:20:44:861
-0.2106,-0.4965,9.8097,-0.2365,-0.4605,9.793,-0.0154,-0.006,-0.0247,0.0083,0.0137,0.0061,30,13.59,32.65,17.05,336.92,2.74,1.32,2,38.747,158.747,,,NaN,,,,0 / 0,15007,2018-08-16 21:20:45:361
-0.1914,-0.451,9.7571,-0.2477,-0.4445,9.7934,0.0615,-0.0177,-0.008,-0.0113,-0.0022,0.0171,30,13.08,32.93,17.95,338.27,2.57,1.47,2,22.805,142.805,,,NaN,,,,0 / 0,15507,2018-08-16 21:20:45:861
